 Numero_de_identificacion,Ejercicio, Mes, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_vialidad, Pista, Juegos_de_parque, Aparatos_de_ejercicio, Cancha, Bebedores, Botes_de_basura, Cantidad_de_botes, Georreferencia, Nota
MGNL0258,2021,SEPTIEMBRE,FRACCIONAMIENTO,Sierra Real,AVENIDA,Av. Sierra Real / Sierra Pinabete,NO,SI,SI,SI,NO,NO,0,"25.775004, -100.589354",
MGNL0026,2021,OCTUBRE,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR J2,CALLE,VALLE FLORIDO,NO,SI,NO,SI,NO,SI,2,"25.797109, -100.489539",
MGNL0259,2021,SEPTIEMBRE,FRACCIONAMIENTO,Sierra Real,AVENIDA,Av. Sierra Real / Av. Las Torres,NO,SI,SI,SI,NO,SI,7,"25.778764, -100.587371",
MGNL0032,2021,OCTUBRE,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR SAN JOSE,CALLE,SEÑORIAL,SI,SI,NO,SI,NO,NO,0,"25.798387, -100.462298",
MGNL0260,2021,SEPTIEMBRE,FRACCIONAMIENTO,Sierra Real,AVENIDA,Av. Sierra Real / Sierra Garcia,NO,SI,SI,SI,NO,SI,6,"25.783266, -100.586028",
MGNL0038,2021,OCTUBRE,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR FRAILE,CALLE,SAN AGUSTIN Y STA LUCIA,SI,SI,NO,SI,NO,NO,0,"25.795012, -100.475591",
MGNL0274,2021,SEPTIEMBRE,FRACCIONAMIENTO,Valle de San Blas 2,AVENIDA,Parque Lineal 2 / Av. Del Hospital,NO,SI,NO,SI,NO,SI,13,"25.803197, -100.56672",
MGNL0039,2021,OCTUBRE,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR FRAILE,CALLE,SAN ANTONIO Y SAN LAZARO,SI,SI,NO,NO,NO,SI,2,"25.797624, -100.475601",
MGNL0275,2021,SEPTIEMBRE,FRACCIONAMIENTO,Valle de San Blas 2,CALLE,Dr. Joseph Listher / Dr. Leopoldo Rio de la Loza,NO,SI,SI,NO,NO,SI,6,"25.804145, -100.563936",
MGNL0055,2021,OCTUBRE,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR 2,CALLE,SEGOVIA,NO,SI,SI,NO,NO,SI,3,"25.801844, -100.486055",
MGNL0281,2021,SEPTIEMBRE,FRACCIONAMIENTO,Los Nogales,CALLE,Palo Blanco / Nogal,NO,SI,SI,SI,NO,NO,0,"25.807181, -100.572447",
MGNL0060,2021,OCTUBRE,FRACCIONAMIENTO,LOS PARQUES DIAMANTE,CALLE,DIAMANTE REIS,SI,SI,NO,SI,NO,SI,1,"25.790442, -100.473201",
MGNL0286,2021,SEPTIEMBRE,FRACCIONAMIENTO,Valle de San José 2do Sector,AVENIDA,Paseo de Los Álamos / 16 de Septiembre,SI,SI,NO,SI,NO,SI,16,"25.78985, -100.600328",
MGNL0064,2021,OCTUBRE,FRACCIONAMIENTO,VERANDA SECTOR VERSALLES,CALLE,AV VERANDA,SI,SI,SI,NO,NO,SI,3,"25.780797, -100.467481",
MGNL0293,2021,SEPTIEMBRE,FRACCIONAMIENTO,Villa de los Nogales,CALLE,Amatista / Granate,NO,SI,SI,SI,NO,SI,2,"25.796453, -100.594219",
MGNL0065,2021,OCTUBRE,FRACCIONAMIENTO,VERANDA SECTOR ALCAZAR,CALLE,JARDIN DE PARTERRE,SI,SI,SI,NO,NO,SI,3,"25.777957, -100.468436",
MGNL0300,2021,SEPTIEMBRE,FRACCIONAMIENTO,Villas del Alcali,AVENIDA,Av. Villas del Alcali / Cuarzo,NO,SI,SI,SI,NO,SI,5,"25.783787, -100.56775",
